Date,State,Poverty_Index
2004,California,13.2
2005,California,13.3
2006,California,13.1
2007,California,12.4
2008,California,13.3
2009,California,14.2
2010,California,15.8
2011,California,16.6
2012,California,17.0
2013,California,16.8
2014,California,16.4
2004,Florida,11.9
2005,Florida,12.8
2006,Florida,12.6
2007,Florida,12.1
2008,Florida,13.3
2009,Florida,15.0
2010,Florida,16.5
2011,Florida,17.0
2012,Florida,17.2
2013,Florida,17.1
2014,Florida,16.6
2004,Arizona,14.6
2005,Arizona,14.4
2006,Arizona,14.2
2007,Arizona,14.1
2008,Arizona,14.7
2009,Arizona,16.5
2010,Arizona,17.6
2011,Arizona,19.0
2012,Arizona,18.7
2013,Arizona,18.6
2014,Arizona,18.2
2004,Michigan,12.5
2005,Michigan,13.1
2006,Michigan,13.5
2007,Michigan,13.9
2008,Michigan,14.4
2009,Michigan,16.1
2010,Michigan,16.7
2011,Michigan,17.5
2012,Michigan,17.4
2013,Michigan,17.0
2014,Michigan,16.2
