State,Time_Series,HPI
California,2004,391
California,2005,474
California,2006,519
California,2007,496
California,2008,405
California,2009,331
California,2010,329
California,2011,310
California,2012,309
California,2013,368
Florida,2004,179
Florida,2005,222
Florida,2006,267
Florida,2007,257
Florida,2008,212
Florida,2009,169
Florida,2010,154
Florida,2011,139
Florida,2012,139
Florida,2013,156
Massachussets,2004,353
Massachussets,2005,382
Massachussets,2006,381
Massachussets,2007,363
Massachussets,2008,340
Massachussets,2009,318
Massachussets,2010,320
Massachussets,2011,307
Massachussets,2012,301
Massachussets,2013,319
North Carolina,2004,147
North Carolina,2005,153
North Carolina,2006,162
North Carolina,2007,170
North Carolina,2008,171
North Carolina,2009,164
North Carolina,2010,159
North Carolina,2011,151
North Carolina,2012,147
North Carolina,2013,150
