"Date","RegionName","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-12-31,"United States",0,1600,0.0004,0.0032,0.0227,105195872
2019-12-31,"California",1,2560,0.0002,0.0073,0.024,10890411
2019-12-31,"Texas",2,1390,0.007,0.019,0.0225,8597094
2019-12-31,"New York",3,2280,0.0045,0.0244,0.0405,5714801
2019-12-31,"Florida",4,1620,-0.0001,-0.0011,0.0066,8864131
2019-12-31,"Illinois",5,1560,-0.0035,-0.0022,0.0145,3544273
2019-12-31,"Pennsylvania",6,1270,-0.0003,0.0019,0.0145,4046401
2019-12-31,"Ohio",7,1030,-0.0106,0.0074,0.0168,4073928
2019-12-31,"Michigan",8,1190,-0.0062,-0.0016,0.0179,3025124
2019-12-31,"Georgia",9,1390,0.0039,0.0212,0.0473,3816323
2019-12-31,"North Carolina",10,1240,0.0056,0.0232,0.0449,3777283
2019-12-31,"New Jersey",11,1830,0.0031,-0.003,0.0246,2877498
2019-12-31,"Virginia",12,1620,0.0003,0.0092,0.0201,2971437
2019-12-31,"Washington",13,1830,0.0009,0.004,0.0276,2498044
2019-12-31,"Massachusetts",14,2170,-0.0033,-0.0147,0.0278,2451571
2019-12-31,"Indiana",15,1040,-0.002,0.0076,0.0149,2406806
2019-12-31,"Arizona",16,1420,0.003,0.0335,0.0728,2376829
2019-12-31,"Tennessee",17,1190,0.0007,0.0053,0.0187,2500549
2019-12-31,"Missouri",18,970,0.0049,0.0228,0.0358,2267277
2019-12-31,"Maryland",19,1680,0.001,0.0036,0.0154,2106992
2019-12-31,"Wisconsin",20,1120,-0.0083,0.0085,0.0258,800779
2019-12-31,"Minnesota",21,1430,0.0068,0.0127,0.0214,1801847
2019-12-31,"Colorado",22,1780,0.0079,0.0135,0.0257,2171155
2019-12-31,"Alabama",23,1000,-0.01,0.0145,0.0202,1672779
2019-12-31,"South Carolina",24,1270,0.0005,0.0206,0.0327,1576594
2019-12-31,"Kentucky",25,1010,0.0016,0.0101,0.0185,1153398
2019-12-31,"Oregon",26,1620,0.006,0.0375,0.0493,1320718
2019-12-31,"Oklahoma",27,900,0.0024,0.0061,0.008,1329207
2019-12-31,"Connecticut",28,1470,0.0012,-0.0013,-0.0026,1757453
2019-12-31,"Iowa",29,950,0.0019,0.0071,-0.0045,1158819
2019-12-31,"Mississippi",30,1000,0.0039,0.0158,0.016,671504
2019-12-31,"Arkansas",31,900,0.0036,0.0222,0.0166,861554
2019-12-31,"Kansas",32,960,0.0009,0.0105,0.0163,1070237
2019-12-31,"Utah",33,1440,-0.0063,0.0039,0.0171,1015831
2019-12-31,"Nevada",34,1400,0.0028,0.0147,0.0433,1100241
2019-12-31,"New Mexico",35,1180,-0.0014,0.0122,0.0212,549559
2019-12-31,"West Virginia",36,890,0.0095,0.0246,0.0062,710485
2019-12-31,"Nebraska",37,1060,-0.0082,-0.0025,-0.0049,649147
2019-12-31,"Idaho",38,1300,-0.0027,0.0302,0.0846,622634
2019-12-31,"Hawaii",39,2320,0,-0.0068,-0.017,495728
2019-12-31,"Maine",40,1450,0.0066,0.0091,0.0407,424611
2019-12-31,"New Hampshire",41,1560,-0.0078,-0.009,0.0195,563371
2019-12-31,"Rhode Island",42,1460,-0.0022,0.0096,0.032,379308
2019-12-31,"Montana",43,1260,-0.0036,-0.0037,0.0025,398351
2019-12-31,"Delaware",44,1370,0.0005,0.0023,0.0021,340515
2019-12-31,"South Dakota",45,980,-0.0034,0.0161,0.0087,221714
2019-12-31,"Alaska",46,1520,-0.0107,-0.0024,-0.0009,232701
2019-12-31,"North Dakota",47,1030,0.0125,0.0147,0.0375,116797
2019-12-31,"Vermont",48,1670,-0.0043,0.0068,-0.0214,103993
2019-12-31,"District of Columbia",49,2350,-0.0038,0.0007,0.0134,221808
2019-12-31,"Wyoming",50,1150,-0.0045,0.0497,0.0698,212079
