DATE,IRLTLT01USM156N
4/1/2006,4.99
5/1/2006,5.11
6/1/2006,5.11
7/1/2006,5.09
8/1/2006,4.88
9/1/2006,4.72
10/1/2006,4.73
11/1/2006,4.6
12/1/2006,4.56
1/1/2007,4.76
2/1/2007,4.72
3/1/2007,4.56
4/1/2007,4.69
5/1/2007,4.75
6/1/2007,5.1
7/1/2007,5
8/1/2007,4.67
9/1/2007,4.52
10/1/2007,4.53
11/1/2007,4.15
12/1/2007,4.1
1/1/2008,3.74
2/1/2008,3.74
3/1/2008,3.51
4/1/2008,3.68
5/1/2008,3.88
6/1/2008,4.1
7/1/2008,4.01
8/1/2008,3.89
9/1/2008,3.69
10/1/2008,3.81
11/1/2008,3.53
12/1/2008,2.42
1/1/2009,2.52
2/1/2009,2.87
3/1/2009,2.82
4/1/2009,2.93
5/1/2009,3.29
6/1/2009,3.72
7/1/2009,3.56
8/1/2009,3.59
9/1/2009,3.4
10/1/2009,3.39
11/1/2009,3.4
12/1/2009,3.59
1/1/2010,3.73
2/1/2010,3.69
3/1/2010,3.73
4/1/2010,3.85
5/1/2010,3.42
6/1/2010,3.2
7/1/2010,3.01
8/1/2010,2.7
9/1/2010,2.65
10/1/2010,2.54
11/1/2010,2.76
12/1/2010,3.29
